IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.75.101.0,3443,true,HKG,Asia Pacific,Hong Kong,1 ms,27117 kB/s
47.76.146.1,443,true,HKG,Asia Pacific,Hong Kong,0 ms,17124 kB/s
34.80.142.68,11464,true,HKG,Asia Pacific,Hong Kong,0 ms,16089 kB/s
146.56.190.2,2023,true,NRT,Asia Pacific,Tokyo,1 ms,13730 kB/s
168.138.196.237,8443,true,NRT,Asia Pacific,Tokyo,0 ms,13515 kB/s
131.186.20.178,24960,true,NRT,Asia Pacific,Tokyo,0 ms,13047 kB/s
158.179.188.7,2096,true,NRT,Asia Pacific,Tokyo,2 ms,12719 kB/s
20.167.48.9,8443,true,SYD,Oceania,Sydney,1 ms,12601 kB/s
23.227.60.223,443,true,ORD,North America,Chicago,1 ms,10414 kB/s
203.184.131.62,8888,true,NRT,Asia Pacific,Tokyo,0 ms,9464 kB/s
202.81.231.30,55576,true,HKG,Asia Pacific,Hong Kong,0 ms,9432 kB/s
8.222.150.197,2053,true,SIN,Asia Pacific,Singapore,0 ms,9372 kB/s
47.236.7.206,2087,true,SIN,Asia Pacific,Singapore,0 ms,8851 kB/s
8.222.134.170,2053,true,SIN,Asia Pacific,Singapore,0 ms,8733 kB/s
47.236.87.246,2083,true,SIN,Asia Pacific,Singapore,0 ms,8711 kB/s
8.222.215.228,2096,true,SIN,Asia Pacific,Singapore,0 ms,8710 kB/s
220.135.84.4,35412,true,NRT,Asia Pacific,Tokyo,0 ms,8638 kB/s
47.236.148.174,2083,true,SIN,Asia Pacific,Singapore,0 ms,8627 kB/s
8.222.238.141,2053,true,SIN,Asia Pacific,Singapore,1 ms,8611 kB/s
8.222.215.228,2083,true,SIN,Asia Pacific,Singapore,0 ms,8559 kB/s
8.222.168.24,2083,true,SIN,Asia Pacific,Singapore,0 ms,8551 kB/s
47.236.79.77,2083,true,SIN,Asia Pacific,Singapore,0 ms,8549 kB/s
8.222.224.162,2087,true,SIN,Asia Pacific,Singapore,0 ms,8548 kB/s
47.236.123.133,2096,true,SIN,Asia Pacific,Singapore,1 ms,8524 kB/s
8.222.227.191,2083,true,SIN,Asia Pacific,Singapore,1 ms,8479 kB/s
47.236.83.239,2096,true,SIN,Asia Pacific,Singapore,1 ms,8454 kB/s
47.236.82.218,2053,true,SIN,Asia Pacific,Singapore,0 ms,8435 kB/s
8.222.154.50,2053,true,SIN,Asia Pacific,Singapore,1 ms,8424 kB/s
47.236.144.208,2087,true,SIN,Asia Pacific,Singapore,0 ms,8408 kB/s
47.236.114.167,2096,true,SIN,Asia Pacific,Singapore,0 ms,8403 kB/s
8.222.136.196,2087,true,SIN,Asia Pacific,Singapore,0 ms,8402 kB/s
47.236.7.13,2087,true,SIN,Asia Pacific,Singapore,0 ms,8385 kB/s
47.236.15.73,2083,true,SIN,Asia Pacific,Singapore,1 ms,8385 kB/s
132.226.228.151,30843,true,ICN,Asia Pacific,Seoul,2 ms,8342 kB/s
8.222.160.61,2096,true,SIN,Asia Pacific,Singapore,7 ms,8316 kB/s
8.222.211.124,2087,true,SIN,Asia Pacific,Singapore,0 ms,8311 kB/s
8.222.129.245,2083,true,SIN,Asia Pacific,Singapore,1 ms,8302 kB/s
8.222.150.197,2096,true,SIN,Asia Pacific,Singapore,0 ms,8289 kB/s
146.56.141.168,47590,true,ICN,Asia Pacific,Seoul,0 ms,8204 kB/s
8.222.145.110,2053,true,SIN,Asia Pacific,Singapore,0 ms,8114 kB/s
146.56.135.192,16617,true,ICN,Asia Pacific,Seoul,0 ms,8103 kB/s
8.222.168.24,2087,true,SIN,Asia Pacific,Singapore,1 ms,8094 kB/s
8.222.145.164,2083,true,SIN,Asia Pacific,Singapore,0 ms,8069 kB/s
8.222.137.178,2083,true,SIN,Asia Pacific,Singapore,0 ms,8028 kB/s
8.222.187.107,2087,true,SIN,Asia Pacific,Singapore,2 ms,8024 kB/s
45.78.16.67,443,true,HKG,Asia Pacific,Hong Kong,0 ms,7982 kB/s
132.145.83.155,33799,true,ICN,Asia Pacific,Seoul,0 ms,7968 kB/s
152.70.232.173,28756,true,ICN,Asia Pacific,Seoul,0 ms,7946 kB/s
217.163.76.88,443,true,ORD,North America,Chicago,0 ms,7872 kB/s
8.222.227.191,2096,true,SIN,Asia Pacific,Singapore,0 ms,7840 kB/s
8.222.182.10,2083,true,SIN,Asia Pacific,Singapore,1 ms,7830 kB/s
47.236.65.177,2087,true,SIN,Asia Pacific,Singapore,0 ms,7824 kB/s
146.56.177.67,61153,true,HKG,Asia Pacific,Hong Kong,0 ms,7809 kB/s
85.113.71.242,8443,true,HKG,Asia Pacific,Hong Kong,0 ms,7802 kB/s
8.222.130.137,2083,true,SIN,Asia Pacific,Singapore,0 ms,7771 kB/s
47.236.65.177,2096,true,SIN,Asia Pacific,Singapore,1 ms,7756 kB/s
8.222.229.22,2087,true,SIN,Asia Pacific,Singapore,0 ms,7730 kB/s
129.154.198.58,46452,true,NRT,Asia Pacific,Tokyo,0 ms,7722 kB/s
8.222.160.61,2087,true,SIN,Asia Pacific,Singapore,1 ms,7720 kB/s
47.236.103.153,2053,true,SIN,Asia Pacific,Singapore,1 ms,7696 kB/s
8.222.211.124,2096,true,SIN,Asia Pacific,Singapore,0 ms,7685 kB/s
47.236.10.100,2053,true,SIN,Asia Pacific,Singapore,0 ms,7628 kB/s
8.222.248.188,2096,true,SIN,Asia Pacific,Singapore,0 ms,7618 kB/s
8.222.224.162,2096,true,SIN,Asia Pacific,Singapore,0 ms,7604 kB/s
1.233.201.159,12513,true,KIX,Asia Pacific,Osaka,0 ms,7557 kB/s
118.163.101.44,23344,true,TPE,Asia Pacific,Taipei,0 ms,7548 kB/s
8.222.155.242,2053,true,SIN,Asia Pacific,Singapore,0 ms,7473 kB/s
8.222.137.166,2083,true,SIN,Asia Pacific,Singapore,0 ms,7454 kB/s
193.122.122.16,40377,true,NRT,Asia Pacific,Tokyo,0 ms,7395 kB/s
47.236.161.155,2053,true,SIN,Asia Pacific,Singapore,0 ms,7319 kB/s
47.236.83.239,2083,true,SIN,Asia Pacific,Singapore,0 ms,7239 kB/s
8.222.182.10,2096,true,SIN,Asia Pacific,Singapore,0 ms,7172 kB/s
176.126.114.97,443,true,NRT,Asia Pacific,Tokyo,0 ms,7105 kB/s
20.11.67.74,8443,true,SYD,Oceania,Sydney,0 ms,7091 kB/s
8.222.150.197,2083,true,SIN,Asia Pacific,Singapore,1 ms,6998 kB/s
110.11.25.32,10488,true,NRT,Asia Pacific,Tokyo,2 ms,6846 kB/s
152.70.254.227,33688,true,NRT,Asia Pacific,Tokyo,0 ms,6845 kB/s
47.128.164.52,9999,true,SIN,Asia Pacific,Singapore,1 ms,6515 kB/s
38.180.33.187,34237,true,MAD,Europe,Madrid,1 ms,6457 kB/s
20.11.67.74,2053,true,SYD,Oceania,Sydney,0 ms,6340 kB/s
110.11.25.32,10517,true,KIX,Asia Pacific,Osaka,1 ms,6305 kB/s
110.11.25.32,10602,true,NRT,Asia Pacific,Tokyo,5 ms,6015 kB/s
218.147.177.196,10243,true,ICN,Asia Pacific,Seoul,0 ms,4894 kB/s
8.222.153.11,2083,true,NRT,Asia Pacific,Tokyo,2 ms,4770 kB/s
8.210.245.224,443,true,HKG,Asia Pacific,Hong Kong,0 ms,4532 kB/s
43.154.196.20,65432,true,HKG,Asia Pacific,Hong Kong,0 ms,3803 kB/s
38.47.122.215,13519,true,HKG,Asia Pacific,Hong Kong,0 ms,3625 kB/s
103.137.63.37,46832,true,HKG,Asia Pacific,Hong Kong,2 ms,1829 kB/s
123.58.212.234,443,true,HKG,Asia Pacific,Hong Kong,1 ms,0 kB/s
